route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06240824-LW,20240828,20240828-LW-1031,LW - Aldershot GO,,0,26A,UNAL,1,1,
06240824-GT,20240828,20240828-GT-3328,KI - Union Station,,1,68P,BEUN,1,1,
06240824-LE,20240828,20240828-LE-9029,LE - Union Station,,1,23A,OSUN,1,1,
06240824-LE,20240828,20240828-LE-9114,LE - Durham College Oshawa GO,,0,26A,UNOS,1,1,
06240824-LE,20240828,20240828-LE-9215,LE - Union Station,,1,21A,OSUN,1,1,
06240824-ST,20240828,20240828-ST-7415,ST - Union Station,,1,38A,MJUN,1,1,
06240824-ST,20240828,20240828-ST-7419,ST - Union Station,,1,68A,MJUN,1,1,
06240824-BR,20240828,20240828-BR-6318,BR - Union Station,,1,43A,AUUN,1,1,
06240824-BR,20240828,20240828-BR-6923,BR - Allandale Waterfront GO,,0,10P,UNAD,1,2,
06240824-LE,20240828,20240828-LE-9138,LE - Durham College Oshawa GO,,0,54P,UNOS,1,1,
06240824-LW,20240828,20240828-LW-1704,LW - Union Station,,1,13A,WRUN,1,2,
06240824-LW,20240828,20240828-LW-1306,LW - Union Station,,1,12A,OAUN,1,2,
06240824-BR,20240828,20240828-BR-6627,BR - Allandale Waterfront GO,,0,46P,UNAD,1,2,
06240824-LW,20240828,20240828-LW-1756,LW - Union Station,,1,15A,WRUN,1,2,
06240824-LW,20240828,20240828-LW-1009,LW - Aldershot GO,,0,26A,UNAL,1,1,
06240824-BR,20240828,20240828-BR-6329,BR - Aurora GO,,0,44P,UNAU,1,1,
06240824-ST,20240828,20240828-ST-7416,ST - Mount Joy GO,,0,61A,UNMJ,1,1,
06240824-MI,20240828,20240828-MI-2745,MI - Milton GO,,0,43P,UNML,1,2,
06240824-LE,20240828,20240828-LE-9031,LE - Union Station,,1,26A,OSUN,1,1,
06240824-GT,20240828,20240828-GT-3015,KI - Bramalea GO,,0,07A,UNBE,1,1,
06240824-ST,20240828,20240828-ST-7430,ST - Mount Joy GO,,0,39P,UNMJ,1,1,
06240824-LE,20240828,20240828-LE-9211,LE - Union Station,,1,03A,OSUN,1,1,
06240824-LW,20240828,20240828-LW-1038,LW - Union Station,,1,28A,ALUN,1,1,
06240824-LW,20240828,20240828-LW-1758,LW - Union Station,,1,16A,WRUN,1,2,
06240824-LW,20240828,20240828-LW-1719,LW - West Harbour GO,,0,26A,UNWR,1,1,
06240824-LE,20240828,20240828-LE-9320,LE - Durham College Oshawa GO,,0,21A,UNOS,1,1,
06240824-ST,20240828,20240828-ST-7433,ST - Union Station,,1,57P,MJUN,1,1,
06240824-LW,20240828,20240828-LW-1710,LW - Union Station,,1,22A,WRUN,1,1,
06240824-RH,20240828,20240828-RH-5010,RH - Union Station,,1,43A,BMUN,1,2,
06240824-LE,20240828,20240828-LE-9226,LE - Durham College Oshawa GO,,0,34P,UNOS,1,2,
06240824-LE,20240828,20240828-LE-9032,LE - Durham College Oshawa GO,,0,65P,UNOS,1,1,
06240824-BR,20240828,20240828-BR-6825,BR - Allandale Waterfront GO,,0,05P,UNAD,1,2,
06240824-LE,20240828,20240828-LE-9017,LE - Union Station,,1,22A,OSUN,1,1,
06240824-GT,20240828,20240828-GT-3011,KI - Bramalea GO,,0,48A,UNBE,1,1,
06240824-LE,20240828,20240828-LE-9126,LE - Durham College Oshawa GO,,0,27A,UNOS,1,2,
06240824-LW,20240828,20240828-LW-1741,LW - West Harbour GO,,0,26A,UNWR,1,1,
06240824-LE,20240828,20240828-LE-9334,LE - Durham College Oshawa GO,,0,24A,UNOS,1,1,
06240824-GT,20240828,20240828-GT-3958,KI - Union Station,,1,58A,KIUN,1,2,
06240824-LW,20240828,20240828-LW-1012,LW - Union Station,,1,23A,ALUN,1,1,
06240824-LW,20240828,20240828-LW-X1639,LW - Burlington GO,,0,28A,UNBU,1,1,
06240824-MI,20240828,20240828-MI-2710,MI - Union Station,,1,32A,MLUN,1,2,
06240824-GT,20240828,20240828-GT-3513,KI - Mount Pleasant GO,,0,50A,UNMO,1,1,
06240824-GT,20240828,20240828-GT-3917,KI - Kitchener GO,,0,47A,UNKI,1,1,
06240824-LW,20240828,20240828-LW-1327,LW - Oakville GO,,0,40P,UNOA,1,2,
06240824-LW,20240828,20240828-LW-1026,LW - Union Station,,1,27A,ALUN,1,1,
06240824-LW,20240828,20240828-LW-X1330,LW - Union Station,,1,40P,OAUN,1,1,
06240824-GT,20240828,20240828-GT-3960,KI - Union Station,,1,56A,KIUN,1,1,
06240824-BR,20240828,20240828-BR-6316,BR - Union Station,,1,57A,AUUN,1,1,
06240824-LE,20240828,20240828-LE-9122,LE - Durham College Oshawa GO,,0,22A,UNOS,1,1,
06240824-LW,20240828,20240828-LW-1961,LW - Niagara Falls GO,,0,31A,UNNI,1,1,
06240824-LW,20240828,20240828-LW-1021,LW - Aldershot GO,,0,27A,UNAL,1,1,
06240824-MI,20240828,20240828-MI-2737,MI - Milton GO,,0,38P,UNML,1,2,
06240824-LE,20240828,20240828-LE-9205,LE - Union Station,,1,22A,OSUN,1,2,
06240824-RH,20240828,20240828-RH-5323,RH - Bloomington GO,,0,45P,UNBM,1,2,
06240824-BR,20240828,20240828-BR-6911,BR - Allandale Waterfront GO,,0,06A,UNAD,1,1,
06240824-LW,20240828,20240828-LW-1854,LW - Union Station,,1,17A,HAUN,1,2,
06240824-ST,20240828,20240828-ST-7626,ST - Old Elm GO,,0,25P,UNLI,1,2,
