shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
339572,43.7023780,-79.6891090,1043
339572,43.7023360,-79.6893490,1042
339572,43.7017780,-79.6920710,1041
339572,43.7017430,-79.6921770,1040
339572,43.7017170,-79.6922920,1039
339572,43.7016560,-79.6925950,1038
339572,43.7016000,-79.6928680,1037
339572,43.7015730,-79.6929850,1036
339572,43.7015600,-79.6930740,1035
339572,43.7015480,-79.6931280,1034
339572,43.7015460,-79.6931550,1033
339572,43.7015470,-79.6932040,1032
339572,43.7015600,-79.6932250,1031
339572,43.7015790,-79.6932340,1030
339572,43.7016110,-79.6932240,1029
339572,43.7021860,-79.6927690,1028
339572,43.7023480,-79.6925990,1027
339572,43.7021180,-79.6924190,1026
339572,43.7020270,-79.6923420,1025
339572,43.7018690,-79.6922210,1024
339572,43.7017780,-79.6920710,1023
339572,43.7021860,-79.6900790,1022
339572,43.7022690,-79.6901110,1021
339572,43.7022690,-79.6901110,1020
339572,43.7022690,-79.6901110,1019
339572,43.7022690,-79.6901110,1018
339572,43.7021860,-79.6900790,1017
339572,43.7023360,-79.6893490,1016
339572,43.7023780,-79.6891090,1015
339572,43.7026510,-79.6889790,1014
339572,43.7031140,-79.6882170,1013
339572,43.7031810,-79.6881190,1012
339572,43.7030680,-79.6879740,1011
339572,43.7028340,-79.6876720,1010
339572,43.7024360,-79.6871500,1009
339572,43.7020850,-79.6866880,1008
339572,43.7010160,-79.6852200,1007
339572,43.7012550,-79.6848860,1006
339572,43.7014270,-79.6846110,1005
339572,43.7015100,-79.6844300,1004
339572,43.7015950,-79.6842030,1003
339572,43.7017190,-79.6838270,1002
339572,43.7018330,-79.6835110,1001
339572,43.7019170,-79.6833020,1000
339572,43.7019970,-79.6831360,999
339572,43.7020750,-79.6829880,998
339572,43.7020940,-79.6829530,997
339572,43.7022020,-79.6827790,996
339572,43.7023200,-79.6826170,995
339572,43.7024460,-79.6824650,994
339572,43.7025870,-79.6823150,993
339572,43.7027560,-79.6821500,992
339572,43.7029800,-79.6819680,991
339572,43.7035350,-79.6815790,990
339572,43.7037000,-79.6814580,989
339572,43.7039260,-79.6812660,988
339572,43.7040850,-79.6811380,987
339572,43.7042660,-79.6809420,986
339572,43.7046540,-79.6806930,985
339572,43.7047690,-79.6806140,984
339572,43.7049190,-79.6805010,983
339572,43.7052180,-79.6802960,982
339572,43.7055160,-79.6801040,981
339572,43.7057750,-79.6799360,980
339572,43.7061050,-79.6797400,979
339572,43.7063910,-79.6795640,978
339572,43.7072180,-79.6789890,977
339572,43.7081250,-79.6784170,976
339572,43.7092710,-79.6776610,975
339572,43.7097100,-79.6773970,974
339572,43.7101390,-79.6771480,973
339572,43.7106800,-79.6768680,972
339572,43.7109420,-79.6767420,971
339572,43.7109960,-79.6767190,970
339572,43.7117560,-79.6764150,969
339572,43.7118590,-79.6763780,968
339572,43.7121660,-79.6762650,967
339572,43.7125760,-79.6761310,966
339572,43.7129900,-79.6760150,965
339572,43.7134090,-79.6759150,964
339572,43.7138280,-79.6758340,963
339572,43.7142480,-79.6757650,962
339572,43.7147020,-79.6757090,961
339572,43.7153590,-79.6756620,960
339572,43.7173150,-79.6755910,959
339572,43.7179740,-79.6755630,958
339572,43.7181620,-79.6755570,957
339572,43.7189090,-79.6755250,956
339572,43.7197580,-79.6754960,955
339572,43.7203270,-79.6754740,954
339572,43.7208550,-79.6754530,953
339572,43.7220960,-79.6753870,952
339572,43.7223130,-79.6753670,951
339572,43.7226060,-79.6753430,950
339572,43.7228790,-79.6753160,949
339572,43.7231960,-79.6752630,948
339572,43.7235230,-79.6752000,947
339572,43.7237860,-79.6751440,946
339572,43.7238630,-79.6751280,945
339572,43.7242430,-79.6750300,944
339572,43.7245300,-79.6749510,943
339572,43.7247690,-79.6748770,942
339572,43.7249820,-79.6747970,941
339572,43.7257300,-79.6744680,940
339572,43.7259110,-79.6743850,939
339572,43.7260710,-79.6743070,938
339572,43.7261760,-79.6742520,937
339572,43.7264040,-79.6741300,936
339572,43.7266430,-79.6739940,935
339572,43.7270710,-79.6737250,934
339572,43.7271720,-79.6736550,933
339572,43.7273590,-79.6735260,932
339572,43.7276810,-79.6732960,931
339572,43.7277130,-79.6732760,930
339572,43.7279410,-79.6731010,929
339572,43.7282650,-79.6728460,928
339572,43.7285690,-79.6725820,927
339572,43.7288430,-79.6723300,926
339572,43.7290050,-79.6721680,925
339572,43.7292400,-79.6719160,924
339572,43.7295940,-79.6715120,923
339572,43.7299010,-79.6711580,922
339572,43.7301900,-79.6708120,921
339572,43.7304040,-79.6705320,920
339572,43.7306570,-79.6701950,919
339572,43.7308420,-79.6699310,918
339572,43.7310660,-79.6696060,917
339572,43.7311960,-79.6694040,916
339572,43.7314200,-79.6690470,915
339572,43.7318100,-79.6684060,914
339572,43.7321100,-79.6679570,913
339572,43.7324530,-79.6674260,912
339572,43.7328510,-79.6667890,911
339572,43.7330800,-79.6664000,910
339572,43.7335480,-79.6655900,909
339572,43.7336360,-79.6654350,908
339572,43.7338250,-79.6651110,907
339572,43.7339310,-79.6649330,906
339572,43.7340470,-79.6647320,905
339572,43.7342020,-79.6644840,904
339572,43.7348730,-79.6633800,903
339572,43.7354790,-79.6623710,902
339572,43.7358030,-79.6618470,901
339572,43.7358610,-79.6617620,900
339572,43.7360640,-79.6614200,899
339572,43.7363330,-79.6609560,898
339572,43.7370050,-79.6598330,897
